name,line
Hitori Gotou," Thanks for watching, everyone! We haven't known each other long, but I enjoyed the precious time we spent together."
Nijika Ijichi, Bocchi-chan! Bocchi-chan! Teach Kita-chan how to do the drinks!
Hitori Gotou, R-Right!
Hitori Gotou, Now's my chance to restore my good name! I can't do it! I get nervous when I'm being watched!
Ikuyo Kita," You okay? I think I get the idea, so you can rest a while."
Hitori Gotou, Please forgive my arrogance...
Ikuyo Kita, I'm just glad you weren't seriously hurt.
Hitori Gotou, Th-Thank yo...
Hitori Gotou, What? Her fingertips...
Ikuyo Kita," Gotoh-san, what made you want to join a band?"
Hitori Gotou, It's an indoor activity where you can be flashy and cool... And I wanna be popular... My motives are excessively impure!
Hitori Gotou, W-World peace... I want to work toward world peace.
Ikuyo Kita, How conscientious!
Ikuyo Kita, Here's your cola!
Hitori Gotou," Um, so the senpai you wanted to get closer to..."
Ikuyo Kita, Yeah. It's Ryo-senpai.
Ryo Yamada, Here ya go.
Ikuyo Kita," Unlike you, I have very impure motives. I saw Senpai playing on the street, and fell head-over-heels for her."
Hitori Gotou," Ryo-san was in another band, too?"
Ikuyo Kita," Her above-it-all attitude, her unisex look... It all makes me squee!"
Hitori Gotou, Squee?
Ikuyo Kita, And she just looks so right holding an instrument!
Hitori Gotou," Oh, I know what you mean! Wh-When I hold mine, it looks more like the instrument's holding me."
Ikuyo Kita, Right? You end up like an appendage to the instrument. I wonder how that happens?
Hitori Gotou, It's like we're best buddies all of a sudden...
Ikuyo Kita, That's one thing about Ryo-senpai that—
s Customer," Um, can I get a cassis orange?"
Ikuyo Kita, Right! Coming right up!
Hitori Gotou," Bye-bye, buddies! I'll know my place next time..."
Ikuyo Kita," After I heard her play, I followed Ryo-san's activities for a while, and she dropped out of her last band pretty suddenly."
Hitori Gotou, H-Huh...
Ikuyo Kita," Then I found out she was recruiting for Kessoku Band, and without thinking, I said I'd do it."
Hitori Gotou, S-Such initiative! Extroversion abounds!
Ikuyo Kita," A band is like your second family, you know?"
Hitori Gotou, Family?
Ikuyo Kita," Yeah, you spend more time with them than with your actual family, and you're all chasing the same dream... It's a mysterious relationship, closer than friends or significant others. I've never done clubs or anything similar, so I've always wanted to be part of that."
Hitori Gotou, I get you. I always wanted it too...
Ikuyo Kita, Yes... I wanted to join Kessoku Band and become Senpai's girl! So much deeper and more intimate than friendship!
Hitori Gotou, Wait. Is Kita-san kind of not-okay?
Ikuyo Kita, But that's all the more reason I can't join the band now. I flaked out once already. I'm too irresponsible. I don't deserve to be in the band.
Seika Ijichi," Okay, good work, all. Feel free to head home."
Hitori Gotou, Thank you for having us...
Ikuyo Kita, Thanks for everything today. Good luck with your band! I'll keep rooting for you! Goodbye!
Hitori Gotou, H-Hey...
Nijika Ijichi, Bocchi-chan?!
Ikuyo Kita," Are you all right, Gotoh-san? You're not still worried about me, are you? I'm sorry. Like I said before, I can't join Kessoku Band. I can't play guitar, and I already flaked out once..."
Hitori Gotou," I... I... I... I also ran away before the concert. I hid in a trash can, and... A-A-And also..."
Nijika Ijichi," Let's get you up, Bocchi-chan. One, two... Here we go!"
Hitori Gotou," K-Kita-san, your left hand... Y-You had calluses on your fingertips. I... I th-think..."
Ryo Yamada, You'd have to be practicing the guitar pretty hard for that.
Hitori Gotou, Y-Yeah!
Nijika Ijichi," Kita-chan, we'd love to have you rocking out with us in Kessoku Band!"
Ikuyo Kita, Why would you let me...
Nijika Ijichi," Because if you hadn't flaked out, we'd never have met Bocchi-chan!"
Hitori Gotou, Y-Yeah!
Nijika Ijichi," I've always wanted to have a band, so I get how it feels intimidating and aspirational at the same time."
Hitori Gotou, S-So do I! S-Sorry. That came out louder than I expected.
Nijika Ijichi," You'd be happy to have her too, right, Ryo?"
Ryo Yamada, I'll only have to pay one-quarter of the studio and quota fees.
Nijika Ijichi," Be a little less honest, would you?"
Ikuyo Kita, I can be part of Senpai's quota!
Nijika Ijichi," So much for that healthy moving-on thing, I guess..."
Ikuyo Kita, But I still can't play the guitar...
Nijika Ijichi, That's okay! Bocchi-chan will teach you!
Hitori Gotou, Eh?
Ryo Yamada," Yeah, yeah."
Hitori Gotou, Ehh?
Ikuyo Kita, You will?
Hitori Gotou, Y-Yes!
Hitori Gotou, I can't exactly turn her down now!
Ikuyo Kita," Thank you. I'll work really hard to play guitar in Kessoku Band! Oh, but you should probably give up that party lifestyle of yours... You're dancing like mad every night, right?"
Nijika Ijichi, Where'd you hear that?!
Hitori Gotou," I'm glad it's all mended. It came out like a mess, but I'm glad I stopped Kita-san from leaving. I worked really hard!"
Hitori Gotou," Well, I gotta head out now..."
Nijika Ijichi," Bocchi-chan, don't go! You're today's MVP!"
Ryo Yamada, You're the reason we're back together.
Ikuyo Kita," Thank you, Gotoh-san!"
Hitori Gotou," Gosh, well, it was nothing, really, honestly..."
Nijika Ijichi, It obviously wasn't nothing for you.
Ikuyo Kita, Gotoh-san wears her heart on her sleeve.
Ikuyo Kita," But I practiced for so long, and yet I never really learned how to play guitar. It just made this quiet 'bum-bum' sound."
Hitori Gotou, Y-You're sure it wasn't a bass?
Ikuyo Kita," Hey, I'm not that ignorant! A bass has four strings, right? See? It's got the full six strings!"
Hitori Gotou, S-Some do have six strings...
Ryo Yamada, That's a six-string bass.
Hitori Gotou, K-Kita-san!
Ikuyo Kita," It cost me two years' advance allowance from my dad, not to mention my New Year's money..."
Nijika Ijichi, Kita-chan!
Hitori Gotou," And so, Kessoku Band officially had all their members."
Ikuyo Kita, No more! I hereby quit the guitar!
Hitori Gotou, What? Are we breaking up already?
Ikuyo Kita, Is this one defective too? Did I get another bass?
Hitori Gotou," N-No, that's definitely a guitar..."
Ikuyo Kita, I'm sorry I whine so much. I know you're giving up your time after class and during lunch to teach me...
Hitori Gotou," H-Hey, it's not..."
Ikuyo Kita," With Ryo-senpai lending me this guitar, and everyone helping... I have to do my best."
Hitori Gotou, B-But I really am glad... that Ryo-san b-bought that bass off of you...
Ikuyo Kita, Yeah. But when she gave me the money...
Ryo Yamada," This is the last of my money, so I'll be eating weeds from now on."
Ikuyo Kita," That was a joke, right?"
Hitori Gotou, She might have been serious!
Ikuyo Kita," Oh, come on... This one's so hard to hold. The F chord is too hard!"
Hitori Gotou," That takes me back. I was this way at the start, too."
Ikuyo Kita, Ryo-senpai! Hello...
Ryo Yamada, You guys're here early.
Hitori Gotou, Sh-She really is eating weeds!
Ikuyo Kita, Senpai's so wild!
Ikuyo Kita, I'm just awful.
Hitori Gotou, Oh... But you at least managed to play it to the en—
Ikuyo Kita," About that, though!"
Hitori Gotou, Y-Yes?
Ikuyo Kita," I just realized, I'm supposed to do vocals too, right? But I can't sing while I'm focusing all my motor control on the guitar."
Hitori Gotou, I... I see...
Ikuyo Kita," I was thinking it might be better for the band if I just sang... But then I wouldn't have anything to do during interludes, and I'd probably start fidgeting on stage... Oh, um... Yeah! So... I guess I'd better work harder!"
Ikuyo Kita, Kit-aura!
Hitori Gotou, My eyes!
Hitori Gotou, N-Nothing.
Hitori Gotou, Her eager self-improvement power is too bright to look directly at!
Ikuyo Kita, But are you sure it's all right for me to sing? I know! You should sing with me!
Hitori Gotou, N-N-Not happening!
Ikuyo Kita, B-But...
Hitori Gotou, N-N-N-N-N-N-N-N-N...
Ikuyo Kita, I'm sorry. Is it that unpleasant a thought?
Ryo Yamada," Hey, nice one. Is that some new guitar showmanship move?"
Ikuyo Kita, Senpai! Do you like it? Then I'll practice it too!
Nijika Ijichi," You don't need to practice that. Ryo's here, so let's meet up at the club!"
Ikuyo Kita, Right!
Nijika Ijichi," We will now begin the band meeting! Round of applause! Now, here's today's topic! The question: How can we be more band-like?"
Ikuyo Kita, It's so half-assed!
Hitori Gotou, It's so half-assed!
Nijika Ijichi," Now that we've got a full member lineup, I figured the first order of business was to get us acting more band-like!"
Hitori Gotou, I... I see!
Nijika Ijichi," I know practice is crucial, but there's gotta be more to us than that! I think we should talk about all kinds of stuff!"
Hitori Gotou, Is she trying to give Kita-san a break from all her practice?
Nijika Ijichi, One tactic is to nail the superficial stuff first!
Ikuyo Kita," Oh, that totally works! Like if you start imitating a new popular make-up technique and end up looking great!"
Nijika Ijichi, Exactly!
Hitori Gotou, It's like they're speaking a foreign language...
Nijika Ijichi, And with that in mind... I made us band merch!
Hitori Gotou, That's a more superficial starting point than I expected!
Ikuyo Kita, Did you just put a zip tie around your wrist?
Nijika Ijichi," Cute, huh? They come in all colors!"
Ryo Yamada, We'll sell them for 500 yen a piece.
Hitori Gotou, What a ripoff!
Ryo Yamada, 650 if they're signed.
Ikuyo Kita, What a steal! I'll take one!
Hitori Gotou, Won't that just be circulating money within the band?
Nijika Ijichi, Anyone else with ideas for becoming more band-like?
Ikuyo Kita, I can set us up an Isstagram and run it!
Nijika Ijichi, Great idea! I hereby appoint you Minister of Social Media!
Ikuyo Kita, And I'll post every day when the time comes!
Nijika Ijichi, And... What about forming a fan club?
Hitori Gotou, That's awfully hasty!
Ryo Yamada," 10,000 yen annual membership fee."
Hitori Gotou, That's awfully expensive!
Ryo Yamada, Membership perks include meet-and-greets and a once-a-year takoyaki party with the band. The fans bring the ingredients.
Ikuyo Kita, What a steal! I'll join!
Nijika Ijichi," Kita-chan, you're already in the band."
Ikuyo Kita," What about you, Gotoh-san? Any ideas?"
Hitori Gotou, What do I do? I wasn't even thinking!
Hitori Gotou, W-Well...
Hitori Gotou, H-Her eyes are so sparkly! I feel the burden of expectation!
Hitori Gotou, Um... Um...
Hitori Gotou," I-If I don't say something, I... I... Nothing's coming to mind! What do I... What do I..."
Nijika Ijichi," Oh, Bocchi-chan can sit this one out. She has a more important job: writing lyrics for our original song! We settled on it before, remember? Ryo would write the music, and you'd write the lyrics! If you've got off-limits words, Bocchi-chan, you should write the lyrics! write the lyrics! write the lyrics! write the lyrics!"
Ikuyo Kita," Wow! I can't wait to hear your song, Ryo-senpai. Have you written it already?"
Ryo Yamada, No. I'll do it once I get inspiration.
Ikuyo Kita, I just can't wait!
Nijika Ijichi," Go for it, Ryo! And Minister of Lyrics!"
Hitori Gotou, R-Right...
Ikuyo Kita," Gotoh-san, it's so cool that you took on such a tough job!"
Hitori Gotou," C-Cool?! W-Well, I can write lyrics like nobody's business! It's the super-easiest thing ever!"
Ikuyo Kita," You get carried away so easily, Gotoh-san."
Hitori Gotou, I'm gonna write the most band-like lyrics and guarantee us a huge hit!
Ryo Yamada, Band-like?
Hitori Gotou, I couldn't think of anything!
Futari Gotou, Shake! Change paws!
Hitori Gotou," I failed to write a single lyric, but I've perfected my signature..."
Futari Gotou," Change, and pose!"
Hitori Gotou, Isn't it cool? Why can't I get my priorities in order?!
Futari Gotou, Jimmyhen's amazing!
Michiyo Gotou, Futari!
Hitori Gotou, I already spent five hours yesterday editing video to escape reality. Done. I'm so stupid! I'm a paramecium!
Futari Gotou, Whatcha writin'?
Hitori Gotou, No!
Hitori Gotou," Here it is! My lyrics notebook from middle school! A curse? Let's get organized. Kita-san's gonna be singing this song. Cheerful lyrics. A seishun song, maybe?"
Ikuyo Kita, Kit-aura!
Hitori Gotou," I could easily write depressing lyrics, of course..."
Ikuyo Kita, Kit-aura!
Hitori Gotou," Nobody wants that, so I've gotta write something band-like, with real Kit-aura! Put yourself in the mind of cheery person! I'm an extrovert! The woman who surfs in the pool at night! The woman who claims the title Queen of Woot! Woot! Woot! Woot! Woot! Go! Go!"
Hitori Gotou, Let's get some vibes up in here! Tequila shots in the house!
Hitori Gotou," No! That's not a cheery person, it's just a party animal! No more shortcuts. You must become Kita-san."
Hitori Gotou," Come over now if you wanna go to Shibuya! Everyone takes Isstaworthy pics right here! They'll be launching fireworks in ten mins, so let's take pictures together then!"
Michiyo Gotou," I know an exorcist, if you need one..."
Hitori Gotou, It's n-n-n-not like that!
Hitori Gotou," Okay, no seishun songs. Let's try a song of encouragement. I personally find status-quo-affirming lyrics annoyingly irresponsible, but... It's so shallow... Any depressed person hearing this song would just drop deeper into despair!"
Hitori Gotou, F-F-Forgive me!
Ikuyo Kita, Gotoh-san?
Nijika Ijichi, What's the matter now?
Hitori Gotou, I-Isn't this an intervention where you tear into me for failing to write lyrics despite all the bragging I did?
Nijika Ijichi, That's perverse! No way!
Hitori Gotou, Then why did you call us here?
Nijika Ijichi," I didn't think of it until now, but there's one other really band-like thing we can do! Take ProPhos!"
Ikuyo Kita," Promotional photos, she means."
Nijika Ijichi, Since Bocchi-chan isn't in Kessoku Band's current ProPho.
Hitori Gotou, C-Current?
Ryo Yamada, Want to see? We took it for our last concert.
Nijika Ijichi," I mean, since Kita-chan ditched us..."
Ikuyo Kita, I'm sorry!
Hitori Gotou, I've never seen such an awful ProPho.
Nijika Ijichi," So, because it's nice out today and none of us have plans, I figured we'd take a few ProPhos!"
Hitori Gotou, O-Outside?!
Nijika Ijichi," We don't have the money to rent a studio, so..."
Hitori Gotou, Taking public pictures in Shimo-Kita is too much to ask of a nerd like me!
Nijika Ijichi," We could do it in Starry instead if you prefer, but a ProPho is important for conveying a band's direction and the unique qualities of its members."
Ikuyo Kita, So we really need to give it everything we have?
Nijika Ijichi," Precisely! We need something that'll have impact, whether it's in a club ad online, a flyer, or a magazine!"
Ryo Yamada, What she said.
Hitori Gotou, V-Very well. I resign myself to this fate.
Nijika Ijichi, Resign yourself? I declare this ProPho-scouting journey on! Let's la go!
Ikuyo Kita, Yeah!
Hitori Gotou, Yeah...
Nijika Ijichi," Stairs... A fence... With plants... At the park... I think we've covered all the bases for broke band ProPhos... Oh, and an evocative wall!"
Ikuyo Kita, I wish we'd brought our instruments.
Hitori Gotou, G-Good point... Having our instruments might make us look cooler.
Nijika Ijichi," For you guys, maybe. Only guitarists and bassists look cool that way. What about the poor drummer? I'm stuck just holding up my drumsticks!"
Ryo Yamada, But that's cute.
Nijika Ijichi," Then let's swap instruments, just for today!"
Ryo Yamada," Nah, that's lame."
Ikuyo Kita," What about here? Isn't it nice? With all these posters up, it has a real ""Shimo-Kitazawa"" vibe!"
Ryo Yamada, That used to be a CD shop I went to a lot.
Ikuyo Kita, Huh?
Nijika Ijichi," Lots of record shops and club venues closing these days, yeah."
Ryo Yamada," Shops that have been there for decades, disappearing one by one..."
Ikuyo Kita, I-I'm really sorry...
Nijika Ijichi," Ryo, you were just celebrating that new book store."
Ryo Yamada, Yeah. I love B&C.
Nijika Ijichi," Kita-chan, don't let Ryo jerk you around. Ninety percent of the things she says are more or less just for vibes."
Ikuyo Kita, But Senpai can jerk me around any time she wants!
Nijika Ijichi," Um? Oh, it's just Bocchi-chan."
Hitori Gotou, U-Um... I-I thought I saw a n-nice-looking wall over there...
Nijika Ijichi," Hey, great work!"
Nijika Ijichi," Taking it now! We're definitely capturing everyone's personalities, but it's not really band-like. Isn't there a way to really make it scream ""band""?"
Ryo Yamada," As I am the quintessential musician, you need only mimic my expression."
Nijika Ijichi, I'd love to know where you get all that confidence...
Ikuyo Kita," But we can't go wrong doing what Senpai says! Right, Gotoh-san?"
Hitori Gotou, Y-Yes...
Nijika Ijichi," A pair of yes-men, huh? Fine, we'll do it. Looks like we're at a funeral."
Hitori Gotou, Yeah...
Nijika Ijichi, But Kita-chan looks cute in any pic we take!
Ikuyo Kita," Aw, no I don't!"
Nijika Ijichi, Sure you do! It's almost like you know what you're doing.
Ikuyo Kita," Oh, I guess it's because I upload pics to Issta all the time! See?"
Nijika Ijichi, That's our Minister of Social Media!
Ikuyo Kita," Bocchi-chan's dying! What's wrong, Gotoh-san? Stay with us! Oh, no! She's flopping around like a fish!"
Hitori Gotou, I've never taken pictures with friends before.
Ikuyo Kita," What do I do? Please, wake up!"
Hitori Gotou, Since... I never had friends before. The only pictures I've taken that weren't with family were class pictures. With those as my only proof of existence for the past fifteen years...
Nijika Ijichi, Look at Bocchi-chan's weird face!
Hitori Gotou," I wonder if there are any other high school girls like me still around? Perhaps I've become a rare species, on par with the tsuchinoko?"
Hitori Gotou, I am... I am the tsuchinoko of Shimo-Kitazawa.
Ikuyo Kita, Gotoh-san's saying the strangest things!
Nijika Ijichi," Nah, this is normal for her."
Hitori Gotou, Noko-noko. Noko-noko.
Nijika Ijichi," Bocchi-chan, why don't you start your own Isstagram? What do you think, Minister?"
Ikuyo Kita," Totally! Let's become friends! If we're going to be a band, we should really have individual member accounts! Gotoh-san?!"
Hitori Gotou, If I were to get an account... Someone with self-esteem so bad she's already trying to form a band to get popular despite total social ineptitude... If s-someone like me were to start an account like that... You would witness the birth of... The attention-whore monster! Like my posts! Like my posts! My video site is all I need.
Ikuyo Kita, Gotoh-san!
Nijika Ijichi, Bocchi-chan!
Ikuyo Kita, We won't push you to get on social media anymore! Please come back to us!
Nijika Ijichi, You okay?
Hitori Gotou, Y-Yes...
Nijika Ijichi," Okay, back to the ProPhos!"
Nijika Ijichi, Nothing's really hitting the spot...
Ikuyo Kita," Hey, what about a jump pic?"
Hitori Gotou, Jump pic?
Ikuyo Kita," It's really photogenic, and it could bring out everyone's personality!"
Nijika Ijichi," Great idea! You're a genius, Kita-chan!"
Ryo Yamada," A wise man once said, any anime where they jump in the OP is a god-tier anime. Would jumping in our ProPho thus make us a god-tier band?"
Hitori Gotou, Where is she getting that from?
Nijika Ijichi," I'm not sure I followed your logic there... But let's give it a try! Five, four, three,"
Hitori Gotou, I c-can't even remember the last time I jumped!
Nijika Ijichi," two, one!"
Ryo Yamada," Oh, I see Bocchi's undies."
Nijika Ijichi," Wow, that's one hell of a picture!"
Hitori Gotou, I'm sorry for putting something so worthless in the picture. Please delete it.
Nijika Ijichi, I was hoping for a cuter reaction there...
Hitori Gotou," If I can't even jump properly, I'm..."
Nijika Ijichi," Okay, let's try one more!"
Nijika Ijichi, Awesome! It's got the band feel and the seishun thing going!
Ikuyo Kita, Do you think I could get a copy of that picture?
Hitori Gotou, M-Me too!
Nijika Ijichi," Yeah, we're feeling band-like now! I feel like we're one step closer to becoming a popular band!"
Hitori Gotou, R-Right!
Ikuyo Kita, Kessoku Band is getting started for real!
Nijika Ijichi," Okay! We'll have our concert in summer (TBD), our demo CD sale (TBD), our first album release in winter (TBD), and become Shimo-Kitazawa's own good vibes-iest vibes-band!"
Ikuyo Kita, Sounds like there's a lot still to be decided!
Nijika Ijichi, Good point! We don't even have a song yet!
Hitori Gotou, I t-totally forgot about the lyrics!
Nijika Ijichi," Of course, we've got Ryo and Bocchi-chan on the case, so... Hey, where's Ryo?"
Ryo Yamada, She must have disappeared.
Nijika Ijichi," What a total free spirit! Anyway, thanks for coming today! Dismissed!"
Hitori Gotou," The more time that passes, the higher the lyrics bar seems to rise. I-If I show them this and they're mean to me... O-Or worse, if they're obviously humoring me, I... M-Maybe I should show it to someone and see how they react. Ryo-san, maybe. I don't think Ryo-san would ever humor me."
Ryo Yamada, a
Hitori Gotou," It's a pleasure to make contact with you This is Bocchi speaking \hIf you happen to still be in Shimo-Kita, \hdo you think you might be able to \h\hconsider having a look at my lyrics?"
Hitori Gotou, She already read it!
Ryo Yamada," I'm here, come by"
Hitori Gotou, Huh? A t-trendy café!
Hitori Gotou," I've never been to a real restaurant by myself. I can't even enter a convenience store without psyching myself up in advance. A-Am I allowed to just walk in? How do people just walk into places? How do they do it on TV and stuff? Oh, I know!"
Hitori Gotou," Are ya winning, diners?"
Ryo Yamada," Oh, Bocchi. Over here."
Hitori Gotou," Th-This is awkward. Come to think of it, I've never been alone with Ryo-san before. I don't even know much about her. F-For that matter, why hasn't she talked to me yet?"
Ryo Yamada, That was delicious.
Hitori Gotou," She finished eating! What do I do? Should I initiate? But... That photo shoot sure was fun, huh?!"
Ryo Yamada, Not really.
Hitori Gotou, That could be the result!
Ryo Yamada, Just show me the lyrics.
Hitori Gotou," Oh, right. Thank you."
Ryo Yamada," No problem. Let's see. Oh, ohh!"
Hitori Gotou, She's unusually flustered!
Ryo Yamada, This is good.
Hitori Gotou," I'm not sure I agree, but for the band's sake... Yes, it's a masterpiece."
Ryo Yamada, Though personally I think one is a bit childish for a band.
Hitori Gotou, That's not the right page!
Ryo Yamada," Are you personally satisfied with these lyrics, Bocchi?"
Hitori Gotou," Oh, w-well... I figured we should do something really ""hit band""-like..."
Ryo Yamada," Did I ever tell you? I was in another band a long time ago. Their lyrics were awkward, but I liked how honest they were. But, desperate for sales, they started going in a more commercial direction. I hated that. That's why I quit. We had a little fight about it at the time. And just as I was feeling sick of the whole band thing..."
Nijika Ijichi," Hey. If you've got time, will you play bass for me?"
Ryo Yamada, Why?
Nijika Ijichi, Because I love the way you play!
Ryo Yamada," When Nijika said that to me, I decided to give playing in a band another try. Abandoning your uniqueness is equivalent to dying."
Hitori Gotou, Ryo-san?
Ryo Yamada, So don't write generic lyrics based on other concerns. Write what you want to write.
Hitori Gotou," B-But if I do that, I'll write bitter, social-outcast lyrics—"
Ryo Yamada, But won't it be hilarious if a normie sings that?
Ikuyo Kita, I spend my days cursing you losers!
Ryo Yamada, Bringing a wide variety of individuals together into one sound... That's the color that Kessoku Band will have.
Hitori Gotou, Ryo-san is actually a considerate person.
Ryo Yamada, Let's get out of here.
Hitori Gotou," R-Right! Oh, Ryo-san... The check..."
Ryo Yamada," Sorry, I'm broke. Treat me?"
Hitori Gotou, Wh-What? B-But you're the one who invited me...
Ryo Yamada, I just couldn't take another day of eating weeds.
Hitori Gotou, You're still doing that?!
Ryo Yamada," And this shop just opened, and I wanted to eat here so bad... Please, treat me?"
Hitori Gotou, I t-take back what I said!
Ryo Yamada, I really am sorry. I'll pay you back next month.
Hitori Gotou, N-No need to rush... U-Um... I-I'm going to try my best!
Ryo Yamada, Sure. Can't wait to see it.
Hitori Gotou, U-Um... I f-finished the lyrics... H-Here.
Ikuyo Kita," Gotoh-san, are you all right? You look tired."
Hitori Gotou," I'm fine. I've just been so focused on the lyrics, I c-completely forgot to sleep..."
Nijika Ijichi, Wow! Let's have a look! I can't wait to see the fruits of your labors!
Hitori Gotou, It m-might be... too much of a downer.
Ryo Yamada, It certainly is a downer.
Ikuyo Kita, Ryo-senpai!
Ryo Yamada," But it's very Bocchi. It might not connect with too many people, but those it does, it'll hit deeply."
Ikuyo Kita, Where'd this friendship come from?!
Nijika Ijichi," But these lyrics really are super great, Bocchi-chan!"
Ikuyo Kita, I love this phrase here!
Ryo Yamada, Same.
Hitori Gotou, I m-managed to figure out the lyrics. I'm going to do my best... I hope the band can stay together forever... and I can get lots of pictures with everyone.
Ikuyo Kita, And whipped cream up to the ceiling!
Seika Ijichi," Excuse me, girls. It's your long-awaited payday."
Nijika Ijichi, Yay!
Hitori Gotou, Y-Yay.
Nijika Ijichi, Thanks!
Ryo Yamada, Thank you very much.
Ikuyo Kita, Thank you!
Seika Ijichi," Sure. And for you, Bocchi-chan."
Hitori Gotou, Th-Thank you!
Hitori Gotou," T-Ten thousand yen! 10,000 Yen The culmination of my blood, sweat, and tears! What'll I spend it on? New sheet music? A big manga haul? Maybe I'll buy a cake and surprise my family!"
Nijika Ijichi," Sorry to rain on various parades, but I've gotta collect these for the concert!"
Hitori Gotou," Lend me your ears. My new song, ""A Farewell to Yukichi."""
Nijika Ijichi," I'm so sorry! I hate it too, okay?"
Hitori Gotou," That's right. I was doing this job thing to pay our concert quota. Of course, if I work hard here every month, Kessoku Band will get to play a lot, which is just about—"
Nijika Ijichi," I'm sorry to you too, Kita-chan!"
Ikuyo Kita," Hey, it's fine! Wow! Does it really cost that much to make an album?"
Hitori Gotou, Huh?
Nijika Ijichi," Yeah, I'd like to have them to sell at our concerts, and shooting a music video and stuff will cost a ton, too..."
Ikuyo Kita, We'll just have to get second jobs during summer vacation!
Nijika Ijichi, Yeah. Maybe we could work at a beach house or something!
Ikuyo Kita, I'd love to work at the beach!
Hitori Gotou, B-Beach?!
Ikuyo Kita, Or maybe an amusement park!
Hitori Gotou, It's a no-go.
Nijika Ijichi, That would be so fun!
Hitori Gotou," They won't lend to minors. But perhaps, deeper in the internet's shadier corners... I'll have to sell my liver."
Ryo Yamada, Bocchi.
Hitori Gotou," I'm s-sure I could get a loan using my guitar as collateral, s-so please don't make me get another job! P-Please don't make me work at the beach or an amusement park!"
Ryo Yamada," Actually, I wrote the song."
Nijika Ijichi," Is it just me, or is it really good?"
Ikuyo Kita," Yeah, it's great!"
Ryo Yamada," When I read Bocchi's lyrics, it just came to me."
Nijika Ijichi, That's awesome! All the hard work paid off!
Ryo Yamada," That's my girl. There, there."
Ikuyo Kita," S-Senpai! I'm working hard, too! Watch me! I've gotten so good at guitar!"
Ryo Yamada, Amazing.
Ikuyo Kita," Amazing?! Please give me chin rubs, too!"
Ryo Yamada," There, there."
Nijika Ijichi, My dream might just come true. Okay! I'll ask Sis to let us hold our concert here next month!
Ikuyo Kita, You hadn't asked her yet?
Nijika Ijichi," No worries! She let us in right away last time! Right, Sis?"
Seika Ijichi, I'm not putting you on.
Nijika Ijichi, Huh?
Ryo Yamada, Huh?
Hitori Gotou, Huh?
Ikuyo Kita, Huh?
Nijika Ijichi, But why? We just finished our original song.
Seika Ijichi, Why should I care about that?
Hitori Gotou, Th-This feels super awkward...
Nijika Ijichi, We can even pay our quota if we don't bring in customers!
Seika Ijichi, It's not about the money. It's about your skill.
Nijika Ijichi, But you let us play last time.
Seika Ijichi, I made an exception so you could make a memory.
Nijika Ijichi, Make a memory?
Seika Ijichi," Normally, I'd make you play first to apply. You know that, right?"
Nijika Ijichi," Yeah, but..."
Seika Ijichi," Sorry, but I can't have a repeat of that awful May performance."
Nijika Ijichi, Can't have a repeat... You mean we...
Seika Ijichi, Just stick with it as a hobby or something. You got more to say?
Nijika Ijichi, You can't even sleep without stuffed animals to cuddle!
Ikuyo Kita, Ijichi-senpai!
Seika Ijichi, That was a weird parting shot.
Ryo Yamada, Would the stuffed animals in question be this beat-up panda and rabbit?
san, That's cute.
Seika Ijichi, Delete that image! Immediately!
Ikuyo Kita," What are you doing? We have to go after her! Don't act like it's too much trouble! You too, Gotoh-san! Let's go!"
Hitori Gotou, R-Right!
Seika Ijichi," Wait, Bocchi-chan."
Hitori Gotou, Y-Yes?
Hitori Gotou," What, what, what? What, what, what?!"
Ryo Yamada, It's so obvious when you're sulking.
Nijika Ijichi, Shut up.
Ikuyo Kita," Senpai, are you all right?"
Nijika Ijichi," Sorry to rush out like that. She didn't have to be such a jerk about it, you know?"
Hitori Gotou, E-Excuse me!
Nijika Ijichi, Bocchi-chan?
Hitori Gotou, E-Excuse me... M-Manager... said... She said...
Nijika Ijichi," Bocchi-chan, breathe first!"
Nijika Ijichi," Here, Bocchi-chan!"
Hitori Gotou, Th-Thank you.
Nijika Ijichi, Feel better?
Hitori Gotou, Y-Yes. Um... The manager told me...
Seika Ijichi," Tell Nijika. If she wants to perform, she needs to audition. I'll watch the performances next Saturday and decide... What? What are you doing?"
Hitori Gotou, I-I'm desperately attempting to show obedience!
Seika Ijichi, You should probably go after them before you lose them.
Hitori Gotou, W-Woof!
Ryo Yamada," When a dog rolls over to show its belly, some believe that's not a show of submission, but a show of aggression."
Ikuyo Kita, Ryo-senpai knows so much! But wait a minute... Does that mean...
Nijika Ijichi, An audition?!
Ikuyo Kita," Yeah! And if we pass, she'll let us perform?"
Hitori Gotou, Y-Yes.
Nijika Ijichi," Well, why didn't she just say so to begin with? That sister of mine is so mean!"
Ikuyo Kita, But that means we just have to work hard! Isn't that nice?
Nijika Ijichi," Yeah, that's right."
Ryo Yamada," You've got that ""those two are the biggest problem"" look on your face."
Nijika Ijichi, Erk!
Ryo Yamada," We'll record your parts in advance, so just practice miming along!"
Ikuyo Kita, Right!
Hitori Gotou, Right!
Nijika Ijichi, No! No air guitars!
Ryo Yamada, We've only got a week. Don't push them so hard.
Nijika Ijichi," Even if they suck, the passion will come through if they try!"
Ikuyo Kita, We suck?
Hitori Gotou, We suck?
